id|created_at|text
1019967600879693829|2018-07-19 15:30:00|"b""$BNFT's seasonal price is expected to grow by 18% (from $37.65 to $44.48) in the next 20 days, so the signal is bul\xe2\x80\xa6 https://t.co/8PSD9lO2ZS"""
1019952503146852353|2018-07-19 14:30:01|b'Digital Realty Trust stocks are #bullish, according to the analysts\xe2\x80\x99 predictions. Currently,$DLR is traded at $115.\xe2\x80\xa6 https://t.co/A3DCfKHIPt'
1019800677751631872|2018-07-19 04:26:43|b'RT @YahooFinance: Trade war spills into uranium as U.S. weighs import tariffs https://t.co/omxaWqIWNb via @business https://t.co/igV4gvZuwg'
1019650509374832640|2018-07-18 18:30:00|"b""Analysts' predicted average price for $SPGI is $199.20. However, $SPGI's current value is $212.59, and analysts can\xe2\x80\xa6 https://t.co/RimNAWjNHM"""
1019635410899619841|2018-07-18 17:30:00|b'$ROL looks good for a stock options trading at the moment.\nIts Implied volatility is almost twice bigger than its H\xe2\x80\xa6 https://t.co/FDgq6Ps3nK'
1019620310625030145|2018-07-18 16:30:00|"b""83% accurate Analysts Target Price indicator's signal is bullish. \nAnalysts are quite optimistic regarding the perf\xe2\x80\xa6 https://t.co/LahFji3cfF"""
1019605213789896705|2018-07-18 15:30:00|b'The average value of short sales to the total trading volume is 26.20%, but for $PAGS it is 43.4%. This is close to\xe2\x80\xa6 https://t.co/IYbHt0iXNH'
1019592327751524352|2018-07-18 14:38:48|b'RT @ReutersBiz: JUST IN: Twitter shares extend premarket losses, now down 3.8 percent $TWTR https://t.co/YYzWRLTqhh'
1019592169798230016|2018-07-18 14:38:11|"b""RT @business: How Google's record fine stacks up https://t.co/7EB6Dj2xWM https://t.co/K5qURNPm3K"""
1019590114110947328|2018-07-18 14:30:00|b'Currently, $YUM is traded at $78.72, but 14 analytics have predicted the bullish stock performance with an average\xe2\x80\xa6 https://t.co/ccg3IC54pK'
1019501919365103616|2018-07-18 08:39:33|b'RT @business: Tesla critic flips his view, finds the Model 3 has the potential to be profitable https://t.co/s173rgFqwy https://t.co/dmhsVC\xe2\x80\xa6'
1019303225428709377|2018-07-17 19:30:01|b'$QSR currently trades at $63.22, and its seasonal price is expected to grow to $64.46 (+1.96%) in the next 5 days.\xe2\x80\xa6 https://t.co/hV5fcW2UPL'
1019288126420811777|2018-07-17 18:30:01|b'$UNP is the second best company in its industry by the Receivables turnover ratio so the signal is bullish. This in\xe2\x80\xa6 https://t.co/0fqspUvinF'
1019273025349476352|2018-07-17 17:30:01|"b""How often do you take into account analysts' opinion of stocks? Check out the analysts' target price indicator. It\xe2\x80\xa6 https://t.co/3V9yCvidwm"""
1019257925561274368|2018-07-17 16:30:01|"b""$AMT's short sales consist of 51.44% of their total trading volume. The signal is bearish because traders are activ\xe2\x80\xa6 https://t.co/m2XCWuwZJc"""
1019254080340885504|2018-07-17 16:14:44|b'RT @ReutersBiz: Netflix shares headed for their worst day in two years after company reports a surprise shortfall in new subscribers https:\xe2\x80\xa6'
1019253988821225473|2018-07-17 16:14:22|b'RT @business: Should you welcome AI or reject it? It depends on your job https://t.co/nUy5iVG3ae https://t.co/Dy4GtMhpmi'
